    "Time(sec)"   ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,"LinSolIter",    "LinSolRes"   ,       "CD"       , "avg_temp_outlet","avg_temp_outlet_scaled","avg_p_center_inlet","avg_p_cocenter_inlet",   "avg_p_inlet"  ,"avg_p_inlet_scaled"
0.0875367419999975,-8.138885587230563, -8.07559952422821,-8.140006393862956,-2.682063275982465,           6, -3.38195535280404,0.002432373818184948, 321.9937897668269,      0.4211760112543126,   1.827744336891242,     1.825997003224055, 1.826870670057648,  0.4187340055711118
0.08591937499998892,-8.140470051093999,-8.080444826797747,-8.143364235486029,-2.684016659429659,           6,-3.383324399046936,0.002430979393811176, 322.0210493383701,      0.4212116674625251,   1.828478033799401,     1.826730714779005, 1.827604374289203,  0.4189021767048537
0.08696901700000126,-8.142026137702574,-8.085321120336417,-8.146741893904645,-2.685930855535117,           6,-3.384736290751396,0.002429568773808598, 322.0487327007679,      0.4212478779998813,   1.829201437965309,     1.827454169855671,  1.82832780391049,  0.4190679928121651
0.08690622599999642,-8.143554484184058,-8.090227506264487,-8.150138059631743,-2.687806590989388,           6,-3.386190104900786,0.002428142616775819, 322.0768372275224,      0.4212846394308556,   1.829914688476214,     1.828167493415957, 1.829041090946085,  0.4192314841541808
0.08668318700000555, -8.14505573572862, -8.09516306389143,-8.153551434209426, -2.68964461713123,           6,-3.387684795335014,0.002426701575533254, 322.1053600933409,      0.4213219480598936,    1.83061792622031,     1.828870811091696, 1.829744368656003,  0.4193926812752081
0.08860970099999577,-8.146532322562173,-8.100126819178429,-8.156980667217864,-2.691443769696969,           6, -3.38919760713619,0.00242524633354502, 322.1342982362908,      0.4213597998819104,   1.831311324564175,     1.829564280763748, 1.830437802663962,   0.419551622137586
0.08607039500000724,-8.147983592105772, -8.10511754196113,-8.160423679180983,-2.693206322417923,           6,-3.390743014539756,0.002423777545130601, 322.1636484524502,       0.421398190706095,   1.831995035206806,     1.830248038268699, 1.831121536737752,  0.4197083396940919
0.08577096700000197,-8.149409723091903, -8.11013420233421,-8.163879095529737,-2.694934017088114,           6,-3.392325659812933,0.002422295841644353, 322.1934073787522,      0.4214371161334709,   1.832669202896607,     1.830922212813338, 1.831795707854973,  0.4198628653411347
0.08407355500000335,-8.150811398472795,-8.115175818393102,-8.167345802923863,-2.696627572747315,           6,-3.393944437813786,0.002420801844571745, 322.2235714872496,      0.4214765715493943,   1.833333973577068,     1.831586935682864, 1.832460454629966,  0.4200152308502786
0.08455542400000127,-8.152189298111137,-8.120241373169307,-8.170822699365583,-2.698287722759686,           6, -3.39559822106889,0.002419296169364219, 322.2541370945416,      0.4215165521358837,   1.833989493610313,     1.832242339799364, 1.833115916704839,  0.4201654682286601
