y value,alpha-H2,alpha-H,alpha-O,alpha-O2,alpha-OH,alpha-H2O,alpha-HO2,alpha-H2O2
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.129015014813557,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-5.896492e-01
4.129015014813557,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-5.896492e-01
4.129015014813557,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-5.896492e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
