    "Time(sec)"   ,    "rms[A_P]"    ,    "rms[A_U]"    ,    "rms[A_V]"    ,    "rms[A_T]"    ,"LinSolIter",    "LinSolRes"   , "avg_temp_outlet","avg_temp_outlet_scaled","avg_p_center_inlet","avg_p_cocenter_inlet",   "avg_p_inlet"  ,"avg_p_inlet_scaled"
 0.077234157999996,-4.165224694171958,-4.300800094185375,-4.579686700152086,-5.817725109243124,           7, -3.04155928282233,                 0,                       0,                   0,                     0,                 0,                   0
0.07698287300000572,-4.165761310121857,-4.301978098466551,-4.581951549686186,-5.818748127111237,           7,-3.042221179656577,                 0,                       0,                   0,                     0,                 0,                   0
0.07763732499999776,-4.166297136006602,-4.303150945664586,-4.584195504825716,-5.819765799389036,           7,-3.042881101204388,                 0,                       0,                   0,                     0,                 0,                   0
0.0750581220000015,-4.166832241223251,-4.304318548691943,-4.586418426488038,-5.820778342482827,           7,-3.043538998548888,                 0,                       0,                   0,                     0,                 0,                   0
0.07684701099999813,-4.167366690471742,-4.305480832294219,-4.588620208666765,-5.821785957373284,           7,-3.044194824700142,                 0,                       0,                   0,                     0,                 0,                   0
0.07778498900000841, -4.16790054361515,-4.306637726036695,-4.590800773216321,-5.822788832621398,           7, -3.04484853534631,                 0,                       0,                   0,                     0,                 0,                   0
0.07499445999999921,-4.168433855818155,-4.307789159982733,-4.592960064724478,-5.823787146663912,           7,-3.045500089299505,                 0,                       0,                   0,                     0,                 0,                   0
0.07512970100000871,-4.168966677885354,-4.308935062770626,-4.595098046019609,-5.824781069431456,           7,-3.046149448658309,                 0,                       0,                   0,                     0,                 0,                   0
0.07644163000000503,-4.169499056713216,-4.310075361517482,-4.597214694830677,-5.825770763382541,           7,-3.046796578733987,                 0,                       0,                   0,                     0,                 0,                   0
0.07487021999999399,-4.170031035780063,-4.311209982869417,  -4.5993100020086,-5.826756384071432,           7,-3.047441447802976,                 0,                       0,                   0,                     0,                 0,                   0
0.07478373399999327, -4.17056265561906,-4.312338854543516,-4.601383971541489,-5.827738080367606,           7,-3.048084026754792,                 0,                       0,                   0,                     0,                 0,                   0
0.07758456300000205,-4.171093954241556,-4.313461906819546,-4.603436622396744,-5.828715994427367,           7,-3.048724288699423,                 0,                       0,                   0,                     0,                 0,                   0
0.07610681500000283,-4.171624967497872,-4.314579073595911,-4.605467992024784,-5.829690261495472,           7,-3.049362208587117,                 0,                       0,                   0,                     0,                 0,                   0
0.0754020960000048,-4.172155729378033,-4.315690292789763,-4.607478141194802,-5.830661009592626,           7,-3.049997762875831,                 0,                       0,                   0,                     0,                 0,                   0
0.07643851299999938,-4.172686272264621,-4.316795506013511,-4.609467159721321,-5.831628359129827,           7,-3.050630929266203,                 0,                       0,                   0,                     0,                 0,                   0
0.07592148599999859,-4.173216627154554,-4.317894657582549,-4.611435172589993,-5.832592422481881,           7,-3.051261686504296,                 0,                       0,                   0,                     0,                 0,                   0
0.07894871300000261,-4.173746823866533,-4.318987692998485, -4.61338234600114,-5.833553303550858,           7,  -3.0518900142426,                 0,                       0,                   0,                     0,                 0,                   0
0.07459367600000633,-4.174276891247152,-4.320074557103476,-4.615308892908826,-5.834511097351824,           7,-3.052515892939225,                 0,                       0,                   0,                     0,                 0,                   0
0.0764649449999979,-4.174806857382515,-4.321155192118612,-4.617215077724445,-5.835465889655684,           7,-3.053139303774536,                 0,                       0,                   0,                     0,                 0,                   0
0.07613324499999408,-4.175336749814751, -4.32222953576585,-4.619101219960858,-5.836417756723979,           7,-3.053760228563779,                 0,                       0,                   0,                     0,                 0,                   0
0.07640855500000043,-4.175866595756057,-4.323297519636819,-4.620967696692717,-5.837366765167897,           7,-3.054378649650718,                 0,                       0,                   0,                     0,                 0,                   0
0.07559343399999818,-4.176396422287588,-4.324359067920608,-4.622814943798586,-5.838312971956643,           7, -3.05499454977301,                 0,                       0,                   0,                     0,                 0,                   0
0.07634827999999061,-4.176926256527831,-4.325414096546003,-4.624643456014613, -5.83925642459057,           7,-3.055607911898133,                 0,                       0,                   0,                     0,                 0,                   0
