    "Time(sec)"   ,    "rms[A_P]"    ,    "rms[A_U]"    ,    "rms[A_V]"    ,"rms[ProgressVariable]","rms[EnthalpyTot]","rms[MixtureFraction]"
0.1272526209999967,-7.597839942025437,-6.913145550062517, -7.42875433823181,     -6.342646872938577, -12.8508370522556,    -5.422747983842001
0.1288959090000006,-7.626489102555048,-6.832879196654471,-7.448513104358832,     -6.321282324124561,-12.82110304325069,    -5.397513775782309
0.1310408650000028, -7.65152277074889,-6.776632079091367, -7.46652333878023,     -6.287606628632686, -12.7880764758959,    -5.383091853320273
0.1285070299999944, -7.67086199393157,-6.739059626055571,-7.482538238393751,     -6.250652204403762,-12.75701791272147,    -5.377844922398666
0.1277842259999957,-7.683859251719078,-6.716620503238978,-7.496506386615106,     -6.216667176659164, -12.7309490206449,    -5.380172228600792
0.1283226639999953,-7.691469382720528,-6.706867099231329,-7.508583734400431,     -6.188930433661089,-12.71130367126704,    -5.388488219857053
0.1284698380000009,-7.695679355464037,-6.708002384937419,-7.519087385727587,     -6.168803723832283,-12.69859136083139,    -5.401217115359116
0.1276230750000025,-7.698644926200188,-6.718610662938622,-7.528414235483203,     -6.156628203330824,-12.69282691335496,    -5.416829717033403
0.1299885849999995,-7.702055672601305,-6.737485301982784,-7.536957452570338,     -6.152244786118009,-12.69376456172538,    -5.433926454073284
0.1294191080000004,-7.706890128311238,   -6.763509676541,-7.545045787055786,     -6.155253235201039, -12.7010124506202,    -5.451347648362575
0.1288166260000025,-7.713446183555624,-6.795568719243859,-7.552914542028823,     -6.165128232695929, -12.7140817036133,    -5.468271280088408
0.1303391020000007,-7.721492082692718,-6.832482020969714,-7.560703601602943,     -6.181263348152266,  -12.732401774951,    -5.484254889019105
0.1308785609999958,-7.730446871074822,-6.872959875650106,-7.568471758820996,     -6.202980169009328,-12.75532026182507,    -5.499200701320627
0.1278440619999941,-7.739555004350694,-6.915592822252273,-7.576216773251995,     -6.229522235125656,-12.78209873882814,    -5.513259509169471
0.1308443759999989, -7.74804289270042,-6.958891080689628,-7.583894125479943,     -6.260045606593573,-12.81191351047804,    -5.526713497364397
0.1294238360000008,-7.755247619542602,-7.001386552037171,-7.591431680772525,     -6.293615160419687,-12.84386899200908,    -5.539876535722503
0.1276705169999985,-7.760706234381306,-7.041789640967336, -7.59874076419591,     -6.329214925205859,-12.87702948270449,    -5.553030307321905
 0.128944673999996,-7.764197588570161,-7.079158531138497,-7.605725727882216,     -6.365779333394364,-12.91047045351546,    -5.566393604077366
0.1283355690000008,-7.765738403017031, -7.11301161799219,-7.612293935556496,     -6.402247864707663,-12.94334254522785,    -5.580111139715344
